FMID,MarketName,Website,Facebook,Twitter,Youtube,OtherMedia,updateTimeStamp,address,latitude,longitude,Season1Start,Season2Start,Season3Start,Season4Start,Season1End,Season2End,Season3End,Season4End,Season1SunStartTime,Season1SunEndTime,Season1MonStartTime,Season1MonEndTime,Season1TueStartTime,Season1TueEndTime,Season1WedStartTime,Season1WedEndTime,Season1ThuStartTime,Season1ThuEndTime,Season1FriStartTime,Season1FriEndTime,Season1SatStartTime,Season1SatEndTime,Season2SunStartTime,Season2SunEndTime,Season2MonStartTime,Season2MonEndTime,Season2TueStartTime,Season2TueEndTime,Season2WedStartTime,Season2WedEndTime,Season2ThuStartTime,Season2ThuEndTime,Season2FriStartTime,Season2FriEndTime,Season2SatStartTime,Season2SatEndTime,Season3SunStartTime,Season3SunEndTime,Season3MonStartTime,Season3MonEndTime,Season3TueStartTime,Season3TueEndTime,Season3WedStartTime,Season3WedEndTime,Season3ThuStartTime,Season3ThuEndTime,Season3FriStartTime,Season3FriEndTime,Season3SatStartTime,Season3SatEndTime,Season4SunStartTime,Season4SunEndTime,Season4MonStartTime,Season4MonEndTime,Season4TueStartTime,Season4TueEndTime,Season4WedStartTime,Season4WedEndTime,Season4ThuStartTime,Season4ThuEndTime,Season4FriStartTime,Season4FriEndTime,Season4SatStartTime,Season4SatEndTime,PaymentList,ProductList
1018261, Caledonia Farmers Market Association - Danville,https://sites.google.com/site/caledoniafarmersmarket/,https://www.facebook.com/Danville.VT.Farmers.Market/,,,,2017-06-20 22:43:00,,44.411035999999996,-72.140337,2017-06-14,2017-09-06,,,2017-08-30,2017-10-18,,,,,,,,,09:00,13:00,,,,,,,,,,,,,14:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Credit, WIC, SFMNP","Organic, Bakedgoods, Cheese, Crafts, Flowers, Eggs, Herbs, Vegetables, Honey, Jams, Maple, Meat, Poultry, Prepared, Soap, Trees, Coffee, Beans, Fruits, Mushrooms, PetFood"
1018318, Stearns Homestead Farmers' Market,http://www.StearnsHomestead.com,StearnsHomesteadFarmersMarket,,,,2017-06-21 17:15:00,,41.3748009,-81.7339387,2017-06-24,,,,2017-09-30,,,,,,,,,,,,,,,,09:00,13:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Credit, SFMNP","Bakedgoods, Crafts, Flowers, Eggs, Herbs, Vegetables, Honey, Jams, Maple, Poultry, Soap, Fruits"
1009364,106 S. Main Street Farmers Market,http://thetownofsixmile.wordpress.com/,,,,,2013-01-01 00:00:00,"106 S. Main Street, Six Mile, South Carolina 29682",34.8037285,-82.81834083333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Credit,Unknown
1010691,10th Steet Community Farmers Market,,,,,http://agrimissouri.com/mo-grown/grodetail.php?type=mo-grown&ID=275,2014-10-28 09:49:00,"10th Street and Poplar, Lamar , Missouri 64759",37.4972574,-94.274543,2014-04-02,,,,2014-11-30,,,,,,,,,,15:00,18:00,,,,,08:00,13:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Credit,"Bakedgoods, Crafts, Eggs, Herbs, Vegetables, Honey, Jams, Meat, Plants, Poultry, Prepared, Soap, Fruits"
1002454,112st Madison Avenue,,,,,,2012-03-01 10:38:00,"112th Madison Avenue, New York, New York 10029",40.7939,-73.9493,2012-07-01,,,,2012-11-30,,,,,,,,08:00,17:00,,,,,,,08:00,20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"WICcash, SFMNP","Bakedgoods, Crafts, Flowers, Herbs, Vegetables, Honey, Jams, Nuts, Prepared, Soap"
1011100,12 South Farmers Market,http://www.12southfarmersmarket.com,12_South_Farmers_Market,@12southfrmsmkt,,@12southfrmsmkt,2015-05-01 10:40:00,"3000 Granny White Pike, Nashville, Tennessee 37204",36.119612,-86.790787,2015-05-05,,,,2015-10-27,,,,,,,,15:30,18:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Credit, SNAP","Organic, Bakedgoods, Cheese, Flowers, Eggs, Herbs, Vegetables, Honey, Jams, Maple, Meat, Poultry, Prepared, Soap, Coffee, Fruits, Juices, Mushrooms, PetFood"
1009845,125th Street Fresh Connect Farmers' Market,http://www.125thStreetFarmersMarket.com,https://www.facebook.com/125thStreetFarmersMarket,https://twitter.com/FarmMarket125th,,Instagram--> 125thStreetFarmersMarket,2014-04-07 16:32:00,"163 West 125th Street and Adam Clayton Powell, Jr. Blvd., New York, New York 10027",40.8089533,-73.94824770000001,2014-06-10,,,,2014-11-25,,,,,,,,10:00,19:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Credit, WIC, SFMNP, SNAP","Organic, Bakedgoods, Cheese, Crafts, Flowers, Eggs, Herbs, Vegetables, Honey, Jams, Maple, Meat, Nuts, Poultry, Prepared, Soap, Wine, Coffee, Fruits, Juices"
1005586,12th & Brandywine Urban Farm Market,,https://www.facebook.com/pages/12th-Brandywine-Urban-Farm-Community-Garden/253769448091860,,,https://www.facebook.com/delawareurbanfarmcoalition,2014-04-03 15:43:00,"12th & Brandywine Streets, Wilmington, Delaware 19801",39.742117,-75.53446,2014-05-16,,,,2014-10-17,,,,,,,,,,,,,,08:00,11:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SNAP,"Herbs, Vegetables, Fruits"
1008071,14&U Farmers' Market,,https://www.facebook.com/14UFarmersMarket,https://twitter.com/14UFarmersMkt,,,2014-04-05 13:49:00,"1400 U Street NW , Washington, District of Columbia 20009",38.916915,-77.032109,2014-05-03,,,,2014-11-22,,,,,,,,,,,,,,,,09:00,13:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Credit, WIC, WICcash, SFMNP, SNAP","Organic, Bakedgoods, Cheese, Flowers, Eggs, Herbs, Vegetables, Honey, Jams, Meat, Nuts, Plants, Poultry, Beans, Fruits, Grains, Juices"
1012710,14th & Kennedy Street Farmers Market,,https://www.facebook.com/14KennnedyFarmersMarket/,14KenFM,,instagram:14kenfm,2016-07-20 11:16:00,"5500 Colorado Avenue, NW, Washington , District of Columbia 20011",38.9559783,-77.03344859999999,2016-04-09,,,,2016-11-19,,,,,,,,,,,,,,,,09:00,13:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Credit, WIC, WICcash, SFMNP, SNAP","Bakedgoods, Crafts, Flowers, Eggs, Herbs, Vegetables, Honey, Jams, Meat, Poultry, Prepared, Coffee, Fruits, PetFood"
