,FMID,MarketName,Website,Facebook,Twitter,Youtube,OtherMedia,street,city,County,State,zip,Season1Date,Season1Time,Season2Date,Season2Time,Season3Date,Season3Time,Season4Date,Season4Time,x,y,Location,Credit,WIC,WICcash,SFMNP,SNAP,Organic,Bakedgoods,Cheese,Crafts,Flowers,Eggs,Seafood,Herbs,Vegetables,Honey,Jams,Maple,Meat,Nursery,Nuts,Plants,Poultry,Prepared,Soap,Trees,Wine,Coffee,Beans,Fruits,Grains,Juices,Mushrooms,PetFood,Tofu,WildHarvested,updateTime,updateTimeStamp,updateYear,address,geolatitude,geolongitude,latitude,longitude
0,1018261, Caledonia Farmers Market Association - Danville,https://sites.google.com/site/caledoniafarmersmarket/,https://www.facebook.com/Danville.VT.Farmers.Market/,,,,,Danville,Caledonia,Vermont,5828,06/14/2017 to 08/30/2017,Wed: 9:00 AM-1:00 PM;,09/06/2017 to 10/18/2017,Wed: 2:00 PM-6:00 PM;,,,,,-72.140337,44.411035999999996,,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y,Y,N,Y,Y,Y,N,N,Y,Y,N,N,6/20/17 22:43,2017-06-20 22:43:00,2017,,46.3144754,11.0480288,44.411035999999996,-72.140337
1,1018318, Stearns Homestead Farmers' Market,http://www.StearnsHomestead.com,StearnsHomesteadFarmersMarket,,,,6975 Ridge Road,Parma ,Cuyahoga,Ohio,,06/24/2017 to 09/30/2017,Sat: 9:00 AM-1:00 PM;,,,,,,,-81.7339387,41.3748009,,Y,N,N,Y,N,-,Y,N,Y,Y,Y,N,Y,Y,Y,Y,Y,N,N,N,N,Y,N,Y,N,N,N,N,Y,N,N,N,N,N,N,6/21/17 17:15,2017-06-21 17:15:00,2017,,46.3144754,11.0480288,41.3748009,-81.7339387
3,1009364,106 S. Main Street Farmers Market,http://thetownofsixmile.wordpress.com/,,,,,106 S. Main Street,Six Mile,,South Carolina,29682,,,,,,,,,-82.8187,34.8042,,Y,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,2013-01-01 00:00:00,2013,"106 S. Main Street, Six Mile, South Carolina 29682",34.8037285,-82.81834083333334,34.8037285,-82.81834083333334
4,1010691,10th Steet Community Farmers Market,,,,,http://agrimissouri.com/mo-grown/grodetail.php?type=mo-grown&ID=275,10th Street and Poplar,Lamar ,Barton,Missouri,64759,04/02/2014 to 11/30/2014,Wed: 3:00 PM-6:00 PM;Sat: 8:00 AM-1:00 PM;,,,,,,,-94.2746191,37.495628,,Y,N,N,N,N,-,Y,N,Y,N,Y,N,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,10/28/14 9:49,2014-10-28 09:49:00,2014,"10th Street and Poplar, Lamar , Missouri 64759",37.4972574,-94.274543,37.4972574,-94.274543
5,1002454,112st Madison Avenue,,,,,,112th Madison Avenue,New York,New York,New York,10029,July to November,Tue:8:00 am - 5:00 pm;Sat:8:00 am - 8:00 pm;,,,,,,,-73.9493,40.7939,Private business parking lot,N,N,Y,Y,N,-,Y,N,Y,Y,N,N,Y,Y,Y,Y,N,N,N,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,3/1/12 10:38,2012-03-01 10:38:00,2012,"112th Madison Avenue, New York, New York 10029",,,40.7939,-73.9493
6,1011100,12 South Farmers Market,http://www.12southfarmersmarket.com,12_South_Farmers_Market,@12southfrmsmkt,,@12southfrmsmkt,3000 Granny White Pike,Nashville,Davidson,Tennessee,37204,05/05/2015 to 10/27/2015,Tue: 3:30 PM-6:30 PM;,,,,,,,-86.79070899999999,36.11837,,Y,N,N,N,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y,N,N,Y,N,Y,N,Y,Y,Y,N,N,5/1/15 10:40,2015-05-01 10:40:00,2015,"3000 Granny White Pike, Nashville, Tennessee 37204",36.119612,-86.790787,36.119612,-86.790787
7,1009845,125th Street Fresh Connect Farmers' Market,http://www.125thStreetFarmersMarket.com,https://www.facebook.com/125thStreetFarmersMarket,https://twitter.com/FarmMarket125th,,Instagram--> 125thStreetFarmersMarket,"163 West 125th Street and Adam Clayton Powell, Jr. Blvd.",New York,New York,New York,10027,06/10/2014 to 11/25/2014,Tue: 10:00 AM-7:00 PM;,,,,,,,-73.94824770000001,40.8089533,Federal/State government building grounds,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y,N,Y,Y,N,Y,N,Y,N,N,N,N,4/7/14 16:32,2014-04-07 16:32:00,2014,"163 West 125th Street and Adam Clayton Powell, Jr. Blvd., New York, New York 10027",,,40.8089533,-73.94824770000001
8,1005586,12th & Brandywine Urban Farm Market,,https://www.facebook.com/pages/12th-Brandywine-Urban-Farm-Community-Garden/253769448091860,,,https://www.facebook.com/delawareurbanfarmcoalition,12th & Brandywine Streets,Wilmington,New Castle,Delaware,19801,05/16/2014 to 10/17/2014,Fri: 8:00 AM-11:00 AM;,,,,,,,-75.53446,39.742117,"On a farm from: a barn, a greenhouse, a tent, a stand, etc",N,N,N,N,Y,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,4/3/14 15:43,2014-04-03 15:43:00,2014,"12th & Brandywine Streets, Wilmington, Delaware 19801",,,39.742117,-75.53446
9,1008071,14&U Farmers' Market,,https://www.facebook.com/14UFarmersMarket,https://twitter.com/14UFarmersMkt,,,1400 U Street NW ,Washington,District of Columbia,District of Columbia,20009,05/03/2014 to 11/22/2014,Sat: 9:00 AM-1:00 PM;,,,,,,,-77.0320505,38.9169984,Other,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,N,Y,N,Y,Y,Y,N,N,N,N,N,Y,Y,Y,Y,N,N,N,N,4/5/14 13:49,2014-04-05 13:49:00,2014,"1400 U Street NW , Washington, District of Columbia 20009",38.916915,-77.032109,38.916915,-77.032109
10,1012710,14th & Kennedy Street Farmers Market,,https://www.facebook.com/14KennnedyFarmersMarket/,14KenFM,,instagram:14kenfm,"5500 Colorado Avenue, NW",Washington ,District of Columbia,District of Columbia,20011,04/09/2016 to 11/19/2016,Sat: 9:00 AM-1:00 PM;,,,,,,,-77.03344859999999,38.9559783,,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,N,N,Y,Y,N,N,N,Y,N,Y,N,N,N,Y,N,N,7/20/16 11:16,2016-07-20 11:16:00,2016,"5500 Colorado Avenue, NW, Washington , District of Columbia 20011",,,38.9559783,-77.03344859999999
11,1016782,175th Street Greenmarket,https://www.grownyc.org/greenmarket/manhattan/175th-street,https://www.facebook.com/ManhattanGreenmarkets/,,,,175th Street between Wadsworth & Broadway,New York ,New York,New York,10033,06/29/2017 to 11/22/2017,Tue: 8:00 AM-6:00 PM;,,,,,,,-73.93804899999999,40.846354,,Y,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,12/16/16 12:06,2016-12-16 12:06:00,2016,"175th Street between Wadsworth & Broadway, New York , New York 10033",,,40.846354,-73.93804899999999
12,1003877,17th Ave Market,http://www.iatp.org/minimarkets,,,,,1622 6th St NE,Minneapolis,Hennepin,Minnesota,55413,June to September,Wed:3:00 pm - 7:00 pm;,,,,,,,-93.2591,45.0044,"Faith-based institution (e.g., church, mosque, synagogue, temple)",N,Y,Y,Y,N,-,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,4/28/11 14:33,2011-04-28 14:33:00,2011,"1622 6th St NE, Minneapolis, Minnesota 55413",,,45.0044,-93.2591
13,1016784,17th Street Farmers Market,http://enrichmond.org,https://www.facebook.com/17thStreetFarmersMarket/,,,,100 North 17th St.,Richmond ,Richmond City,Virginia,23219,06/08/2017 to ,Thu: 3:00 PM-6:30 PM;,,,,,,,-77.428364,37.53385,,Y,N,N,N,Y,-,Y,Y,N,N,Y,Y,Y,Y,Y,Y,N,Y,N,N,N,Y,N,Y,N,N,Y,N,Y,N,N,Y,N,N,N,12/29/16 12:13,2016-12-29 12:13:00,2016,"100 North 17th St., Richmond , Virginia 23219",37.534461,-77.427683,37.534461,-77.427683
14,1010968,18th and Christian Farmers' Market,http://thefoodtrust.org/farmers-markets/market/18th-Christian,,,,,18th Street and Christian Street,Philadelphia,Philadelphia,Pennsylvania,19146,06/01/2015 to 11/15/2015,Thu: 3:00 PM-7:00 PM;,,,,,,,-75.17343100000001,39.940943,,Y,Y,N,Y,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,3/24/15 15:33,2015-03-24 15:33:00,2015,"18th Street and Christian Street, Philadelphia, Pennsylvania 19146",,,39.940943,-75.17343100000001
15,1009994,18th Street Farmer's Market,,https://www.facebook.com/ScottsbluffFarmersMarket,,,,18th and Broadway,Scottsbluff,Scotts Bluff,Nebraska,69361,06/07/2014 to 09/27/2014,Sat: 8:00 AM-11:00 AM;,,,,,,,-103.662538,41.864268,,Y,N,N,N,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,N,N,Y,N,N,Y,Y,Y,N,N,N,Y,Y,Y,N,N,N,N,N,N,6/29/16 16:32,2016-06-29 16:32:00,2016,"18th and Broadway, Scottsbluff, Nebraska 69361",41.870223,-103.662882,41.870223,-103.662882
16,1018365,18th Street Farmers Market,,18th Street Farmers Market,,,,825 18th Street,Charleston ,Coles,Illinois,61920,05/20/2017 to 09/30/2017,Sat: 8:00 AM-12:00 PM;,,,,,,,-88.1622392,39.490714399999995,,Y,Y,N,Y,Y,-,Y,N,Y,Y,N,N,Y,Y,Y,Y,N,N,N,N,Y,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,6/23/17 8:02,2017-06-23 08:02:00,2017,"825 18th Street, Charleston , Illinois 61920",39.490334622464076,-88.16333633881635,39.490334622464076,-88.16333633881635
17,1012790,19/27 Community Farmers Market,,https://www.facebook.com/1927-Community-Farmers-Market-1505265436358960/,,,,NE 7th Ave,Chiefland,Levy,Florida,32626,09/03/2016 to 06/24/2017,Sat: 8:30 AM-1:00 PM;,09/02/2017 to 06/30/2018,Sat: 8:30 AM-1:00 PM;,,,,,-82.85787320000001,29.484854100000003,,Y,N,N,N,N,-,Y,Y,Y,N,Y,N,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,Y,N,N,Y,Y,Y,N,Y,Y,N,N,8/19/16 16:07,2016-08-19 16:07:00,2016,"NE 7th Ave, Chiefland, Florida 32626",29.484838,-82.8587269,29.484838,-82.8587269
18,1012158,21 Acres Farm Market,http://21acres.org,https://www.facebook.com/21Acres/,@21acres,21AcresCenter's channel,Instagram @21acres,13701 NE 171st Street,Woodinville,King,Washington,98072,01/01/2016 to 12/31/2016,Wed: 11:00 AM-6:00 PM;Thu: 11:00 AM-6:00 PM;Fri: 11:00 AM-6:00 PM;Sat: 11:00 AM-6:00 PM;,,,,,,,-122.1569875,47.75023970000001,,Y,N,N,N,Y,Y,Y,Y,N,N,Y,Y,Y,N,Y,Y,N,Y,N,Y,N,Y,Y,N,N,N,Y,Y,Y,Y,Y,Y,N,N,N,6/30/16 19:50,2016-06-30 19:50:00,2016,"13701 NE 171st Street, Woodinville, Washington 98072",47.750577711271234,-122.15642466495127,47.750577711271234,-122.15642466495127
